Symbol,Name,Sector
LVS,Las Vegas Sands Corp.,Consumer Services
NWS,News Corporation,Consumer Services
NWSA,News Corporation,Consumer Services
LYV,"Live Nation Entertainment, Inc.",Consumer Services
DIS,Walt Disney Company (The),Consumer Services
ROL,"Rollins, Inc.",Consumer Services
CMG,"Chipotle Mexican Grill, Inc.",Consumer Services
MGM,MGM Resorts International,Consumer Services
CTAS,Cintas Corporation,Consumer Services
HLT,Hilton Worldwide Holdings Inc.,Consumer Services
SBUX,Starbucks Corporation,Consumer Services
CMCSA,Comcast Corporation,Consumer Services
DPZ,Domino¡¯s Pizza Inc,Consumer Services
BKNG,Booking Holdings Inc. Common Stock,Consumer Services
YUM,"Yum! Brands, Inc.",Consumer Services
MCD,McDonald¡¯s Corporation,Consumer Services
MAR,Marriott International,Consumer Services
DRI,"Darden Restaurants, Inc.",Consumer Services
EXPE,"Expedia Group, Inc.",Consumer Services
CZR,"Caesars Entertainment, Inc.",Consumer Services
CHTR,"Charter Communications, Inc.",Consumer Services
WBD,"Warner Bros. Discovery, Inc. ¨C Series A",Consumer Services
RCL,Royal Caribbean Cruises Ltd.,Consumer Services
CCL,Carnival Corporation,Consumer Services
WYNN,"Wynn Resorts, Limited",Consumer Services
PARA,Paramount Global,Consumer Services
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Services
CRM,"Salesforce, Inc.",Technology Services
PANW,"Palo Alto Networks, Inc.",Technology Services
TYL,"Tyler Technologies, Inc.",Technology Services
CSGP,"CoStar Group, Inc.",Technology Services
NOW,"ServiceNow, Inc.",Technology Services
VRSK,"Verisk Analytics, Inc.",Technology Services
CDNS,"Cadence Design Systems, Inc.",Technology Services
IBM,International Business Machines Corporation,Technology Services
SNPS,"Synopsys, Inc.",Technology Services
INTU,Intuit Inc.,Technology Services
PTC,PTC Inc.,Technology Services
ADSK,"Autodesk, Inc.",Technology Services
PAYC,"Paycom Software, Inc.",Technology Services
FICO,Fair Isaac Corporation,Technology Services
ANSS,"ANSYS, Inc.",Technology Services
ADBE,Adobe Inc.,Technology Services
MSCI,MSCI Inc.,Technology Services
NFLX,"Netflix, Inc.",Technology Services
FTNT,"Fortinet, Inc.",Technology Services
ROP,"Roper Technologies, Inc.",Technology Services
TRMB,Trimble Inc.,Technology Services
ORCL,Oracle Corporation,Technology Services
EA,Electronic Arts Inc.,Technology Services
AKAM,"Akamai Technologies, Inc.",Technology Services
BR,"Broadridge Financial Solutions, Inc.",Technology Services
ATVI,"Activision Blizzard, Inc",Technology Services
META,"Meta Platforms, Inc.",Technology Services
FDS,FactSet Research Systems Inc.,Technology Services
MSFT,Microsoft Corporation,Technology Services
JKHY,"Jack Henry & Associates, Inc.",Technology Services
ADP,"Automatic Data Processing, Inc.",Technology Services
VRSN,"VeriSign, Inc.",Technology Services
IT,"Gartner, Inc.",Technology Services
FFIV,"F5, Inc.",Technology Services
PAYX,"Paychex, Inc.",Technology Services
MTCH,"Match Group, Inc.",Technology Services
GOOG,Alphabet Inc.,Technology Services
ACN,Accenture plc,Technology Services
GOOGL,Alphabet Inc.,Technology Services
EPAM,"EPAM Systems, Inc.",Technology Services
CDW,CDW Corporation,Technology Services
